[ 2023-05-05 06:45:02,612 ] 160 numexpr.utils - INFO - NumExpr defaulting to 4 threads.
[ 2023-05-05 06:45:04,783 ] 23 root - INFO - Data Ingestion beginning
[ 2023-05-05 06:45:04,783 ] 29 root - INFO - Saving Train/Test datasets
[ 2023-05-05 06:45:04,908 ] 35 root - INFO - Converting rare categories to a single category 'Other'
[ 2023-05-05 06:45:05,284 ] 60 root - INFO - Data Ingestion completed successfully!
[ 2023-05-05 06:45:05,409 ] 85 root - INFO - Reading of train and test data completed.
[ 2023-05-05 06:45:05,409 ] 95 root - INFO - Obtaining preprocessing objects
[ 2023-05-05 06:45:05,409 ] 27 root - INFO - Data Transformation initiated
[ 2023-05-05 06:45:05,409 ] 73 root - INFO - Creation of data transformation pipeline completed
[ 2023-05-05 06:45:05,409 ] 99 root - INFO - Applying preprocessing on train and test data
[ 2023-05-05 06:45:05,924 ] 103 root - INFO - Preprocessing completed
[ 2023-05-05 06:45:05,971 ] 115 root - INFO - Preprocessor pickle file saved
[ 2023-05-05 06:45:05,971 ] 26 root - INFO - Splitting input and target variables
[ 2023-05-05 06:47:44,682 ] 63 root - INFO - Best Model Found! , Model name: AdaBoostClassifier, Accuracy: 86.36122177954847
