[ 2023-05-05 06:50:48,925 ] 160 numexpr.utils - INFO - NumExpr defaulting to 4 threads.
[ 2023-05-05 06:50:50,971 ] 23 root - INFO - Data Ingestion beginning
[ 2023-05-05 06:50:50,971 ] 29 root - INFO - Saving Train/Test datasets
[ 2023-05-05 06:50:51,065 ] 35 root - INFO - Converting rare categories to a single category 'Other'
[ 2023-05-05 06:50:51,409 ] 60 root - INFO - Data Ingestion completed successfully!
[ 2023-05-05 06:50:51,518 ] 85 root - INFO - Reading of train and test data completed.
[ 2023-05-05 06:50:51,534 ] 95 root - INFO - Obtaining preprocessing objects
[ 2023-05-05 06:50:51,534 ] 27 root - INFO - Data Transformation initiated
[ 2023-05-05 06:50:51,534 ] 73 root - INFO - Creation of data transformation pipeline completed
[ 2023-05-05 06:50:51,534 ] 99 root - INFO - Applying preprocessing on train and test data
[ 2023-05-05 06:50:51,987 ] 103 root - INFO - Preprocessing completed
[ 2023-05-05 06:50:52,018 ] 115 root - INFO - Preprocessor pickle file saved
[ 2023-05-05 06:50:52,018 ] 29 root - INFO - Splitting input and target variables
[ 2023-05-05 06:53:10,585 ] 66 root - INFO - Best Model Found! , Model name: AdaBoostClassifier, Accuracy: 86.36122177954847
