[ 2023-05-04 14:53:25,760 ] 160 numexpr.utils - INFO - NumExpr defaulting to 4 threads.
[ 2023-05-04 14:53:27,847 ] 23 root - INFO - Data Ingestion beginning
[ 2023-05-04 14:53:27,847 ] 29 root - INFO - Saving Train/Test datasets
[ 2023-05-04 14:53:27,958 ] 35 root - INFO - Converting rare categories to a single category 'Other'
[ 2023-05-04 14:53:28,383 ] 56 root - INFO - Data Ingestion completed successfully!
[ 2023-05-04 14:53:28,506 ] 84 root - INFO - Reading of train and test data completed.
[ 2023-05-04 14:53:28,513 ] 94 root - INFO - Obtaining preprocessing objects
[ 2023-05-04 14:53:28,517 ] 26 root - INFO - Data Transformation initiated
[ 2023-05-04 14:53:28,517 ] 72 root - INFO - Creation of data transformation pipeline completed
[ 2023-05-04 14:53:28,517 ] 98 root - INFO - Applying preprocessing on train and test data
[ 2023-05-04 14:53:28,569 ] 123 root - INFO - Exception has occured in the initiate_data_transformation function
