[ 2023-05-05 06:23:06,418 ] 160 numexpr.utils - INFO - NumExpr defaulting to 4 threads.
[ 2023-05-05 06:23:08,511 ] 23 root - INFO - Data Ingestion beginning
[ 2023-05-05 06:23:08,511 ] 29 root - INFO - Saving Train/Test datasets
[ 2023-05-05 06:23:08,620 ] 35 root - INFO - Converting rare categories to a single category 'Other'
[ 2023-05-05 06:23:08,933 ] 56 root - INFO - Data Ingestion completed successfully!
[ 2023-05-05 06:23:09,073 ] 85 root - INFO - Reading of train and test data completed.
[ 2023-05-05 06:23:09,089 ] 95 root - INFO - Obtaining preprocessing objects
[ 2023-05-05 06:23:09,089 ] 27 root - INFO - Data Transformation initiated
[ 2023-05-05 06:23:09,089 ] 73 root - INFO - Creation of data transformation pipeline completed
[ 2023-05-05 06:23:09,089 ] 99 root - INFO - Applying preprocessing on train and test data
[ 2023-05-05 06:23:09,568 ] 103 root - INFO - Preprocessing completed
[ 2023-05-05 06:23:09,599 ] 115 root - INFO - Preprocessor pickle file saved
[ 2023-05-05 06:23:09,599 ] 26 root - INFO - Splitting input and target variables
